language,English,German,French,Spanish,Ukranian,Russian,Japanese,Chinese,Korean
Settings,Settings,Einstellungen,Paramètres,Configuración,Налаштування,Настройки,設定,设置,설정
play,Play,Spielen,jouer,jugar,грати,играть,遊ぶ,玩,놀다
HowTo,How to Play,Wie man spielt,Comment jouer,Cómo jugar,Як грати,Как играть,プレイ方法,如何玩,어떻게 플레이하는지
Hide,Hide,Verstecken,cacher,esconder,ховатися,прятаться,隠す,隐藏,숨기다
Back,Back,Zurück,retour,atrás,назад,Назад,戻る,返回,돌아가다
Exit,Exit,Beenden,terminer,terminar,закінчити,завершить,終了する,结束,종료하다
GoBack,Go Back,Zurück,retour,regresar,назад,назад,戻る,回来,돌아가다
FreedomUnits_0,Unit: Celsius,Einheit: Celsius,unité : Celsius,unidad: Celsius,Цельсій,единица: Цельсий,セルシウス,单位：摄氏度,섭씨
FreedomUnits_1,Unit: Fahrenheit,Einheit: Fahrenheit,Fahrenheit,Fahrenheit,Фаренгейт,Фаренгейт,ファーレンハイト,华氏度,화씨
hideTalk_0,Disabled while hiding,Deaktiviert während verstecken,Désactivé pendant la cachette,Desactivado durante el ocultamiento,деактивовано під час ховання,Отключено во время скрытия,隠れている間に無効化,在隐藏期间禁用,숨길 때 비활성화됨
hideTalk_1,Enabled while hiding,Aktiviert während verstecken,Activé pendant la cachette,Activado durante esconder,активувати під час схову,Активировано во время скрытия,隠れている間に有効化,在隐藏期间激活,숨기는 동안 활성화됨
pushTalk_0,Push To Talk: Off,Push To Talk: Aus,Appuyer pour parler : Éteint,Presionar para hablar: Apagado,Push To Talk: Вимкнено,Выключить,プッシュトゥトーク：オフ,按下说话：关闭,푸시 투 토크: 꺼짐
pushTalk_1,Push To Talk: On,Push To Talk: An,Appuyer pour parler : Allumé,Presionar para hablar: Encendido,"Натисніть, щоб говорити","Нажми, чтобы говорить",プッシュトゥトーク：オン,按下说话：开启,푸시 투 토크: 켜짐
Quality_0,Quality: Low,Qualität: Niedrig,Qualité : Basse,Calidad: Baja,якість: низька,Качество: Низкое,品質：低い,质量：低,품질: 낮음
Quality_1,Quality: Medium,Qualität: Mittel,Qualité : Moyenne,Calidad: Media,Якість: Середня,качество: среднее,品質：中,品质：中等,품질: 중간
Quality_2,Quality: High,Qualität: Hoch,Qualité: Élevée,Calidad: Alta,Якість: Висока,качество: высокое,品質：高い,质量：高,품질: 높음
Quality_3,Quality: Ultra,Qualität: Ultra,Qualité: Ultra,Calidad: Ultra,Якість: Ультра,качество: ультра,品質: ウルトラ,质量：超,품질: 울트라
Screen_0,Screen: Fullscreen,Bildschirm: Vollbild,écran: plein écran,pantalla: pantalla completa,екран: повний екран,экран: полноэкранный,画面: フルスクリーン,屏幕：全屏,화면: 전체 화면
Screen_1,Screen: Windowed,Bildschirm: Fenster,écran: fenêtre,pantalla: ventana,екран: вікно,экран: окно,画面：ウィンドウ,屏幕：窗口,화면: 창
money,Money,Geld,argent,dinero,гроші,деньги,お金,金钱,돈
level,Level,Level,niveau,Nivel,рівень,уровень,レベル,等级,레벨
photos,Photos,Fotos,photos,fotos,фотографії,фотографии,写真,照片,사진
to,to,zu,à,a,до,к,へ,到,에
from,from,von,de,de,від,от,フォン,从,에서
of,of,von,sur,en,на,на,上,在,의
SelectYourMission,Select your mission,Wähle deine Mission,Choisis ta mission,Elige tu misión,Обери свою місію,Выбери свою миссию,ミッションを選んでください,选择你的任务,미션을 선택하세요
StartMission,Start mission,Mission starten,Démarrer la mission,iniciar misión,розпочати місію,начать миссию,ミッションを開始する,开始任务,미션 시작하기
RequiredLevel,Required level,Benötigt level,niveau requis,Nivel requerido,потрібен рівень,Требуется уровень,必要なレベル,需要等级,필요한 레벨
MapInfo,Map info,Karteninfo,informations sur la carte,información del mapa,інформація про карту,информация о карте,カード情報,卡片信息,카드 정보
difficulty_0,Amateur,Amateur,amateur,aficionado,аматор,любитель,アマチュア,业余,아마추어
difficulty_1,Intermediate,Mittelstufe,niveau intermédiaire,nivel intermedio,середній рівень,средний уровень,中級,中级,중급
difficulty_2,Professional,Professionell,professionnel,profesional,професійний,профессиональный,プロフェッショナル,专业,전문적인
difficulty_3,Nightmare,Alptraum,cauchemar,pesadilla,кошмар,кошмар,悪夢,噩梦,악몽
difficulty_4,Game Journalist,Spiele Journalist,journaliste de jeux vidéo,periodista de videojuegos,ігровий журналіст,игровой журналист,ゲームジャーナリスト,游戏记者,게임 저널리스트
not_selected,not selected,nicht ausgewählt,non sélectionné,no seleccionado,не вибрано,не выбрано,選択されていない,未选择,선택되지 않음
a_single,a,ein,un,uno,один,один,一つ,一个,하나
task,Task,Aufgabe,tâche,tarea,завдання,задание,課題,任务,과제
task_1,Detect the ghost type,Erkennen des Geistertyps,Reconnaissance du type spectre,Reconocimiento del tipo fantasma,Розпізнавання типу привида,определение типа призрака,ゴーストタイプを認識する,识别幽灵类型,유령 유형 인식
task_completed,Task completed,Aufgabe beendet,Tâche terminée,tarea terminada,завдання завершено,Задача завершена,タスク完了,任务完成,임무 완료
task_not_completed,Task not done,Aufgabe nicht erledigt,Tâche non accomplie,Tarea no completada,завдання не виконано,Задание не выполнено,タスク未完了,任务未完成,업무 미완료
your_suspected_ghost,Your suspected ghost was,Ihr vermuteter Geist war,Votre esprit suspect était,Su supuesto espíritu era,їх передбачуваний дух був,Их предполагаемый дух был,彼らが思い込んでいた幽霊でした,他们怀疑的精神是,그들이 생각한 유령은
it_was_ghost,It was actually a,Es war eigentlich ein,C'était en fait un,En realidad era un,Це було насправді,Это было на самом деле,それは実際には一つでした,其实是一个,사실 그것은
mission_basic,Find enough evidence to identify the ghost type,"Finden Sie genügend Beweise, um den Geistertyp zu identifizieren",Trouvez suffisamment de preuves pour identifier le type spectre,Encuentra suficientes pruebas para identificar el tipo fantasma,"Знайдіть достатньо доказів, щоб ідентифікувати тип привида","Найдите достаточно доказательств, чтобы идентифицировать тип призрака",幽霊タイプを特定するのに十分な証拠を見つけてください,找到足够的证据来识别幽灵类型,유령 유형을 식별하기 위한 충분한 증거를 찾으십시오
mission_0,Find evidence of a murder,Beweise für einen Mord finden,trouver des preuves d'un meurtre,encontrar pruebas de un asesinato,знайти докази вбивства,найти доказательства убийства,殺人の証拠を見つける,找到谋杀的证据,살인 증거를 찾다
you_died,You died,Du bist gestorben,Tu es mort,Has muerto,Ти помер,Ты умер,あなたは死んだ,你死了,죽었어요
progress_level,Progress to next Level,Fortschritt zum nächsten Level,Progression au niveau suivant,Progreso al siguiente nivel,прогрес до наступного рівня,Прогресс до следующего уровня,次のレベルへの進歩,进入下一级,다음 레벨로 진행
